question_order,title,identifier,scale_id,ccyys
1,Student Engagement,core001,1,20219
2,Class Participation,core002,1,20222
3,Feedback Quality,core003,2,20226
4,Course Material Relevance,core004,2,20229
5,Instructor Accessibility,core005,3,20232
6,Overall Satisfaction,op032,3,20236
7,Interest in Subject,music1,4,20239
8,Student Engagement,core001,1,20222
9,Student Engagement,core001,1,20226
10,Class Participation,core002,1,20226
11,Class Participation,core002,1,20229
12,Feedback Quality,core003,2,20229
13,Feedback Quality,core003,2,20232
14,Course Material Relevance,core004,2,20232
15,Course Material Relevance,core004,2,20236
16,Instructor Accessibility,core005,3,20236
17,Instructor Accessibility,core005,3,20239
18,Overall Satisfaction,op032,3,20239
19,Interest in Subject,music1,4,20219
20,Interest in Subject,music1,4,20222
