policy_key,extract_key,office_agency_system_key,client_key,broker_key,insurer_market_key,payee_market_key,product_line_key,producer1_employee_key,producer2_employee_key,csr1_employee_key,department_key,policy_number,policy_status,effective_date,expiration_date,inception_date,estimated_premium,epic_policy_type_key,annualized_endorsement_premium,written_premium,annualized_premium,contracted_expiration_date,bill_type_key
1001,5001,1,2001,3001,4001,4002,6001,7001,7002,8001,9001,POL-001,Active,2023-01-01,2024-01-01,2022-12-15,10000.00,10001,500.00,9500.00,10000.00,2023-12-31,11001
1002,5002,1,2002,3002,4003,4004,6002,7003,7004,8002,9002,POL-002,Active,2023-02-01,2024-02-01,2023-01-15,15000.00,10002,750.00,14250.00,15000.00,2024-01-31,11002
1003,5003,1,2003,3003,4005,4006,6003,7005,7006,8003,9003,POL-003,Inactive,2023-03-01,2024-03-01,2023-02-15,20000.00,10003,1000.00,19000.00,20000.00,2024-02-29,11003
1004,5004,1,2004,3004,4007,4008,6004,7007,7008,8004,9004,POL-004,Active,2023-04-01,2024-04-01,2023-03-15,25000.00,10004,1250.00,23750.00,25000.00,2024-03-31,11004
1005,5005,1,2005,3005,4009,4010,6005,7009,7010,8005,9005,POL-005,Active,2023-05-01,2024-05-01,2023-04-15,30000.00,10005,1500.00,28500.00,30000.00,2024-04-30,11005
1006,5006,1,2006,3006,4011,4012,6006,7011,7012,8006,9006,POL-006,Active,2023-06-01,2024-06-01,2023-05-15,35000.00,10006,1750.00,33250.00,35000.00,2024-05-31,11006
1007,5007,1,2007,3007,4013,4014,6007,7013,7014,8007,9007,POL-007,Inactive,2023-07-01,2024-07-01,2023-06-15,40000.00,10007,2000.00,38000.00,40000.00,2024-06-30,11007
1008,5008,1,2008,3008,4015,4016,6008,7015,7016,8008,9008,POL-008,Active,2023-08-01,2024-08-01,2023-07-15,45000.00,10008,2250.00,42750.00,45000.00,2024-07-31,11008
1009,5009,1,2009,3009,4017,4018,6009,7017,7018,8009,9009,POL-009,Active,2023-09-01,2024-09-01,2023-08-15,50000.00,10009,2500.00,47500.00,50000.00,2024-08-31,11009
1010,5010,1,2010,3010,4019,4020,6010,7019,7020,8010,9010,POL-010,Active,2023-10-01,2024-10-01,2023-09-15,55000.00,10010,2750.00,52250.00,55000.00,2024-09-30,11010
1011,5011,1,2011,3011,4021,4022,6011,7021,7022,8011,9011,POL-011,Inactive,2023-11-01,2024-11-01,2023-10-15,60000.00,10011,3000.00,57000.00,60000.00,2024-10-31,11011
1012,5012,1,2012,3012,4023,4024,6012,7023,7024,8012,9012,POL-012,Active,2023-12-01,2024-12-01,2023-11-15,65000.00,10012,3250.00,61750.00,65000.00,2024-11-30,11012
1013,5013,1,2013,3013,4025,4026,6013,7025,7026,8013,9013,POL-013,Active,2024-01-01,2025-01-01,2023-12-15,70000.00,10013,3500.00,66500.00,70000.00,2024-12-31,11013
1014,5014,1,2014,3014,4027,4028,6014,7027,7028,8014,9014,POL-014,Active,2024-02-01,2025-02-01,2024-01-15,75000.00,10014,3750.00,71250.00,75000.00,2025-01-31,11014
1015,5015,1,2015,3015,4029,4030,6015,7029,7030,8015,9015,POL-015,Active,2024-03-01,2025-03-01,2024-02-15,80000.00,10015,4000.00,76000.00,80000.00,2025-02-28,11015
