policy_key,extract_key,office_agency_system_key,client_key,broker_key,insurer_market_key,payee_market_key,product_line_key,producer1_employee_key,producer2_employee_key,csr1_employee_key,department_key,policy_number,policy_status,effective_date,expiration_date,inception_date,estimated_premium,epic_policy_type_key,annualized_endorsement_premium,written_premium,annualized_premium,contracted_expiration_date,bill_type_key
2001,6001,2,3001,4001,5001,5002,7001,8001,8002,9001,10001,POL-CAN-001,Active,2023-01-15,2024-01-15,2023-01-01,12000.00,20001,600.00,11400.00,12000.00,2024-01-14,12001
2002,6002,2,3002,4002,5003,5004,7002,8003,8004,9002,10002,POL-CAN-002,Active,2023-02-15,2024-02-15,2023-02-01,18000.00,20002,900.00,17100.00,18000.00,2024-02-14,12002
2003,6003,2,3003,4003,5005,5006,7003,8005,8006,9003,10003,POL-CAN-003,Inactive,2023-03-15,2024-03-15,2023-03-01,24000.00,20003,1200.00,22800.00,24000.00,2024-03-14,12003
2004,6004,2,3004,4004,5007,5008,7004,8007,8008,9004,10004,POL-CAN-004,Active,2023-04-15,2024-04-15,2023-04-01,30000.00,20004,1500.00,28500.00,30000.00,2024-04-14,12004
2005,6005,2,3005,4005,5009,5010,7005,8009,8010,9005,10005,POL-CAN-005,Active,2023-05-15,2024-05-15,2023-05-01,36000.00,20005,1800.00,34200.00,36000.00,2024-05-14,12005
2006,6006,2,3006,4006,5011,5012,7006,8011,8012,9006,10006,POL-CAN-006,Active,2023-06-15,2024-06-15,2023-06-01,42000.00,20006,2100.00,39900.00,42000.00,2024-06-14,12006
2007,6007,2,3007,4007,5013,5014,7007,8013,8014,9007,10007,POL-CAN-007,Inactive,2023-07-15,2024-07-15,2023-07-01,48000.00,20007,2400.00,45600.00,48000.00,2024-07-14,12007
2008,6008,2,3008,4008,5015,5016,7008,8015,8016,9008,10008,POL-CAN-008,Active,2023-08-15,2024-08-15,2023-08-01,54000.00,20008,2700.00,51300.00,54000.00,2024-08-14,12008
2009,6009,2,3009,4009,5017,5018,7009,8017,8018,9009,10009,POL-CAN-009,Active,2023-09-15,2024-09-15,2023-09-01,60000.00,20009,3000.00,57000.00,60000.00,2024-09-14,12009
2010,6010,2,3010,4010,5019,5020,7010,8019,8020,9010,10010,POL-CAN-010,Active,2023-10-15,2024-10-15,2023-10-01,66000.00,20010,3300.00,62700.00,66000.00,2024-10-14,12010
