policy_key,bu_key,client_key,carrier_insurer_key,carrier_payee_key,product_key,product_line_key,producer_key,client_producer_key,client_account_manager_key,invoice_date_key,bill_type_key,billed_premium_amt_lcl,billed_premium_amt_usd,commission_revenue_amt_lcl,commission_revenue_amt_usd,fee_revenue_amt_lcl,fee_revenue_amt_usd,env_source_code
2001,201,3001,5001,5002,7001,7001,8001,8001,9001,20230115,12001,12000.00,9000.00,1200.00,900.00,600.00,450.00,EPIC_CAN
2002,202,3002,5003,5004,7002,7002,8003,8003,9002,20230215,12002,18000.00,13500.00,1800.00,1350.00,900.00,675.00,EPIC_CAN
2003,203,3003,5005,5006,7003,7003,8005,8005,9003,20230315,12003,24000.00,18000.00,2400.00,1800.00,1200.00,900.00,EPIC_CAN
2004,204,3004,5007,5008,7004,7004,8007,8007,9004,20230415,12004,30000.00,22500.00,3000.00,2250.00,1500.00,1125.00,EPIC_CAN
2005,205,3005,5009,5010,7005,7005,8009,8009,9005,20230515,12005,36000.00,27000.00,3600.00,2700.00,1800.00,1350.00,EPIC_CAN
2006,206,3006,5011,5012,7006,7006,8011,8011,9006,20230615,12006,42000.00,31500.00,4200.00,3150.00,2100.00,1575.00,EPIC_CAN
2007,207,3007,5013,5014,7007,7007,8013,8013,9007,20230715,12007,48000.00,36000.00,4800.00,3600.00,2400.00,1800.00,EPIC_CAN
2008,208,3008,5015,5016,7008,7008,8015,8015,9008,20230815,12008,54000.00,40500.00,5400.00,4050.00,2700.00,2025.00,EPIC_CAN
2009,209,3009,5017,5018,7009,7009,8017,8017,9009,20230915,12009,60000.00,45000.00,6000.00,4500.00,3000.00,2250.00,EPIC_CAN
2010,210,3010,5019,5020,7010,7010,8019,8019,9010,20231015,12010,66000.00,49500.00,6600.00,4950.00,3300.00,2475.00,EPIC_CAN
