policy_key,extract_key,agency_system_policy_id,office_agency_system_key,client_key,broker_key,insurer_market_key,payee_market_key,product_line_key,producer1_employee_key,producer2_employee_key,csr1_employee_key,department_key,policy_number,policy_status,effective_date,expiration_date,inception_date,estimated_premium,epic_policy_type_key,annualized_endorsement_premium,written_premium,annualized_premium,contracted_expiration_date
1001,101,ASP1001,OAS001,CL001,BR001,IM001,PM001,PL001,PE001,PE002,CE001,DK001,POL1001,Active,2023-01-01,2024-01-01,2022-01-01,5000.00,EPT001,500.00,5500.00,5500.00,2024-01-01
1002,102,ASP1002,OAS002,CL002,BR002,IM002,PM002,PL002,PE003,PE004,CE002,DK002,POL1002,Active,2023-02-15,2024-02-15,2021-02-15,7500.00,EPT002,750.00,8250.00,8250.00,2024-02-15
1003,103,ASP1003,OAS003,CL003,BR003,IM003,PM003,PL003,PE005,PE006,CE003,DK003,POL1003,Inactive,2022-03-30,2023-03-30,2020-03-30,6000.00,EPT003,600.00,6600.00,6600.00,2023-03-30
1004,104,ASP1004,OAS004,CL004,BR004,IM004,PM004,PL004,PE007,PE008,CE004,DK004,POL1004,Active,2023-04-10,2024-04-10,2022-04-10,8000.00,EPT004,800.00,8800.00,8800.00,2024-04-10
1005,105,ASP1005,OAS005,CL005,BR005,IM005,PM005,PL005,PE009,PE010,CE005,DK005,POL1005,Active,2023-05-20,2024-05-20,2021-05-20,9000.00,EPT005,900.00,9900.00,9900.00,2024-05-20
1006,106,ASP1006,OAS006,CL006,BR006,IM006,PM006,PL006,PE011,PE012,CE006,DK006,POL1006,Inactive,2022-06-05,2023-06-05,2020-06-05,5500.00,EPT006,550.00,6050.00,6050.00,2023-06-05
1007,107,ASP1007,OAS007,CL007,BR007,IM007,PM007,PL007,PE013,PE014,CE007,DK007,POL1007,Active,2023-07-15,2024-07-15,2022-07-15,7000.00,EPT007,700.00,7700.00,7700.00,2024-07-15
1008,108,ASP1008,OAS008,CL008,BR008,IM008,PM008,PL008,PE015,PE016,CE008,DK008,POL1008,Active,2023-08-25,2024-08-25,2021-08-25,8500.00,EPT008,850.00,9350.00,9350.00,2024-08-25
1009,109,ASP1009,OAS009,CL009,BR009,IM009,PM009,PL009,PE017,PE018,CE009,DK009,POL1009,Active,2023-09-10,2024-09-10,2022-09-10,6500.00,EPT009,650.00,7150.00,7150.00,2024-09-10
1010,110,ASP1010,OAS010,CL010,BR010,IM010,PM010,PL010,PE019,PE020,CE010,DK010,POL1010,Inactive,2022-10-01,2023-10-01,2020-10-01,7200.00,EPT010,720.00,7920.00,7920.00,2023-10-01
